           CurrError          VanishGrad         ResetWeight       ChangeInitial    RelocateInterval
         5115.905764                   0                  -1                  -1                   0
         5115.905764                   0                 100                  -1                   1
         6889.272945                   0                 101                  -1                   2
         5706.431173                   0                 102                  -1                   0
         5314.138474                   0                 103                  -1                   1
         6889.272962                   0                  -1                  -1                   0
         6889.272962                   0                 101                  -1                   1
         5706.431862                   0                 102                  -1                   2
         5706.431857                   0                 102                  -1                   0
         5314.138475                   0                 103                  -1                   1
         5706.431130                   0                  -1                  -1                   0
         5706.431130                   0                 102                  -1                   1
         5314.138474                   0                 103                  -1                   2
         5314.138474                   0                 103                  -1                   0
         4894.731447                   0                 104                  -1                   1
         5314.650496                   0                  -1                  -1                   0
         5314.654414                   0                 103                  -1                   1
         4894.731909                   0                 104                  -1                   2
         4894.731913                   0                 104                  -1                   0
         6147.496448                   0                 105                  -1                   1
         4894.732503                   0                  -1                  -1                   0
         4894.732503                   0                 104                  -1                   1
         6147.496448                   0                 105                  -1                   2
         6358.237966                   0                 106                  -1                   0
         6478.358522                   0                 107                  -1                   1
         6147.496584                   0                  -1                  -1                   0
         6147.496584                   0                 105                  -1                   1
         6358.237631                   0                 106                  -1                   2
         6478.355115                   0                 107                  -1                   0
         7203.530925                   0                 108                  -1                   1
         6358.237674                   0                  -1                  -1                   0
         6358.237674                   0                 106                  -1                   1
         6478.362599                   0                 107                  -1                   2
         7203.530802                   0                 108                  -1                   0
         5627.690742                   0                 109                  -1                   1
         6478.433340                   0                  -1                  -1                   0
         6478.433340                   0                 107                  -1                   1
         7203.530563                   0                 108                  -1                   2
         5627.690742                   0                 109                  -1                   0
         5627.690742                   0                 109                  -1                   1
         7969.767798                   0                  -1                  -1                   0
         7969.761171                   0                 108                  -1                   1
         5627.690818                   0                 109                  -1                   2
         5627.690818                   0                 109                  -1                   0
         5629.655974                   0                 110                  -1                   1
         5627.690818                   0                  -1                  -1                   0
         5627.690818                   0                 109                  -1                   1
         5629.655974                   0                 110                  -1                   2
        11025.723751                   0                 111                  -1                   0
         7497.245233                   0                 112                  -1                   1
