           CurrError          VanishGrad         ResetWeight       ChangeInitial    RelocateInterval
         2766.194341                   0                  -1                  -1                   0
         2705.694332                   0                 100                  -1                   0
         2705.674964                   0                 100                  -1                   0
         2642.556639                   0                 101                  -1                   1
         2642.562349                   0                 101                  -1                   1
         2703.062369                   0                  -1                  -1                   0
         2642.551871                   0                 101                  -1                   0
         2642.556408                   0                 101                  -1                   0
         4215.929715                   0                 102                  -1                   1
         2810.696904                   0                 103                  -1                   1
         4215.920646                   0                  -1                  -1                   0
         4215.929674                   0                 102                  -1                   0
         2810.680774                   0                 103                  -1                   1
         2810.696951                   0                 103                  -1                   1
            0.000000                   0                 104                  -1                   2
