           CurrError          VanishGrad         ResetWeight       ChangeInitial    RelocateInterval
         1273.200629                   0                  -1                  -1                   0
         1271.200629                   0                 100                  -1                   0
         1271.200629                   0                 100                  -1                   0
         1193.493480                   0                 101                  -1                   1
         1193.493480                   0                 101                  -1                   2
         1193.493458                   0                  -1                  -1                   0
         1193.493458                   0                 101                  -1                   1
         1835.562905                   0                 102                  -1                   2
         1678.192579                   0                 103                  -1                   0
            0.000000                   0                 104                  -1                   1
