           CurrError          VanishGrad         ResetWeight       ChangeInitial    RelocateInterval
         2370.006996                   0                  -1                  -1                   0
         2370.007000                   0                 100                  -1                   1
         2259.529107                   0                 101                  -1                   2
         2259.529107                   0                 101                  -1                   0
         2643.786047                   0                 102                  -1                   1
         2259.529226                   0                  -1                  -1                   0
         2259.529226                   0                 101                  -1                   1
         2643.784325                   0                 102                  -1                   2
            4.500000                   0                 103                  -1                   2
            4.500000                   0                 103                  -1                   2
         2643.784494                   0                  -1                  -1                   0
         2785.420965                   0                 102                  -1                   0
            4.500000                   0                 103                  -1                   0
            0.000000                   0                 103                  -1                   0
