           CurrError          VanishGrad         ResetWeight       ChangeInitial    RelocateInterval
           26.370918                   0                  -1                  -1                   0
           24.384443                   0                 100                  -1                   0
           24.384379                   0                 100                  -1                   0
           30.854195                   0                 101                  -1                   1
           18.180416                   0                 102                  -1                   1
           30.922166                   0                  -1                  -1                   0
           31.133821                   0                 101                  -1                   0
           17.888911                   0                 102                  -1                   0
           17.869976                   0                 102                  -1                   1
           18.036522                   0                 102                  -1                   2
           25.102053                   0                  -1                  -1                   0
           17.944263                   0                 102                  -1                   0
           17.944263                   0                 102                  -1                   0
           20.630178                   0                 103                  -1                   1
           21.888858                   0                 104                  -1                   1
          650.000000                   0                  -1                  -1                   0
            5.000000                   0                 103                  -1                   0
            0.000000                   0                 103                  -1                   0
