           CurrError          VanishGrad         ResetWeight       ChangeInitial    RelocateInterval
           58.929243                   0                  -1                  -1                   0
           52.380267                   0                 100                  -1                   0
           52.380785                   0                 100                  -1                   0
           49.155367                   0                 101                  -1                   1
           49.148101                   0                 101                  -1                   1
           49.148018                   0                 101                  -1                   2
           37.922074                   0                 102                  -1                   0
           37.216403                   0                 102                  -1                   0
           37.216403                   0                 102                  -1                   0
           45.301683                   0                 103                  -1                   1
           51.584084                   0                  -1                  -1                   0
           48.722378                   0                 101                  -1                   0
           48.705887                   0                 101                  -1                   0
           48.706441                   0                 101                  -1                   1
           37.186423                   0                 102                  -1                   2
           37.186423                   0                 102                  -1                   2
           45.301894                   0                 103                  -1                   0
           50.645311                   0                 104                  -1                   0
           53.585456                   0                 105                  -1                   0
           37.082697                   0                 106                  -1                   0
          244.500000                   0                  -1                  -1                   0
            2.000000                   0                 102                  -1                   0
            0.000000                   0                 102                  -1                   0
