           CurrError          VanishGrad         ResetWeight       ChangeInitial    RelocateInterval
            0.914403                   0                  -1                  -1                   0
            0.914402                   0                 100                  -1                   1
            0.870444                   0                 101                  -1                   2
            0.870444                   0                 101                  -1                   0
            1.195004                   0                 102                  -1                   1
            0.874566                   0                  -1                  -1                   0
            0.874531                   0                 101                  -1                   1
            0.874531                   0                 101                  -1                   2
            1.191166                   0                 102                  -1                   0
            1.172893                   0                 103                  -1                   1
            1.185378                   0                  -1                  -1                   0
            1.185770                   0                 102                  -1                   1
            1.173706                   0                 103                  -1                   2
            1.173706                   0                 103                  -1                   0
            1.044321                   0                 104                  -1                   1
            1.158911                   0                  -1                  -1                   0
            1.158911                   0                 103                  -1                   1
            1.060090                   0                 104                  -1                   2
            1.060090                   0                 104                  -1                   0
            1.144255                   0                 105                  -1                   1
            1.082364                   0                  -1                  -1                   0
            1.082392                   0                 104                  -1                   1
            1.153834                   0                 105                  -1                   2
            0.947228                   0                 106                  -1                   0
            0.947101                   0                 106                  -1                   1
            1.147499                   0                  -1                  -1                   0
            1.147502                   0                 105                  -1                   1
            0.935917                   0                 106                  -1                   2
            0.935917                   0                 106                  -1                   0
            0.903976                   0                 107                  -1                   1
        14399.880000                   0                  -1                  -1                   0
        14399.880000                   0                 106                  -1                   1
            0.921519                   0                 107                  -1                   2
            0.921521                   0                 107                  -1                   0
            1.294269                   0                 108                  -1                   1
            0.921519                   0                  -1                  -1                   0
            0.921521                   0                 107                  -1                   1
            1.294269                   0                 108                  -1                   2
            0.899646                   0                 109                  -1                   0
            0.899603                   0                 109                  -1                   1
            1.267441                   0                  -1                  -1                   0
            1.267445                   0                 108                  -1                   1
            0.899073                   0                 109                  -1                   2
            0.899024                   0                 109                  -1                   0
            0.898975                   0                 109                  -1                   1
            0.878382                   0                  -1                  -1                   0
            0.878384                   0                 109                  -1                   1
            0.904663                   0                 110                  -1                   2
            0.986596                   0                 111                  -1                   0
            1.102955                   0                 112                  -1                   1
