           CurrError          VanishGrad         ResetWeight       ChangeInitial    RelocateInterval
          676.300000                   0                  -1                  -1                   0
          676.300000                   0                 100                  -1                   1
          676.300000                   0                 101                  -1                   2
          676.300000                   0                 102                  -1                   0
          676.300000                   0                 103                  -1                   1
          676.300000                   0                  -1                  -1                   0
          676.300000                   0                 101                  -1                   1
          676.300000                   0                 102                  -1                   2
          676.300000                   0                 103                  -1                   0
          676.300000                   0                 104                  -1                   1
          676.300000                   0                  -1                  -1                   0
          676.300000                   0                 102                  -1                   1
          676.300000                   0                 103                  -1                   2
          676.300000                   0                 104                  -1                   0
          676.300000                   0                 105                  -1                   1
          676.300000                   0                  -1                  -1                   0
          676.300000                   0                 103                  -1                   1
          676.300000                   0                 104                  -1                   2
          676.300000                   0                 105                  -1                   0
          676.300000                   0                 106                  -1                   1
          676.300000                   0                  -1                  -1                   0
          676.300000                   0                 104                  -1                   1
          676.300000                   0                 105                  -1                   2
