           CurrError          VanishGrad         ResetWeight       ChangeInitial    RelocateInterval
            0.915011                   0                  -1                  -1                   0
            0.915004                   0                 100                  -1                   1
            0.870527                   0                 101                  -1                   2
            0.870527                   0                 101                  -1                   0
            1.195352                   0                 102                  -1                   1
            0.874566                   0                  -1                  -1                   0
            0.874531                   0                 101                  -1                   1
            0.874531                   0                 101                  -1                   2
            1.191166                   0                 102                  -1                   0
            1.172893                   0                 103                  -1                   1
            1.185378                   0                  -1                  -1                   0
            1.185770                   0                 102                  -1                   1
            1.173706                   0                 103                  -1                   2
            1.173706                   0                 103                  -1                   0
            1.044321                   0                 104                  -1                   1
            1.165602                   0                  -1                  -1                   0
            1.161526                   0                 103                  -1                   1
            1.161480                   0                 103                  -1                   2
            1.161434                   0                 103                  -1                   0
            1.161388                   0                 103                  -1                   1
            1.081705                   0                  -1                  -1                   0
            1.081738                   0                 104                  -1                   1
            1.153977                   0                 105                  -1                   2
            0.947237                   0                 106                  -1                   0
            0.947110                   0                 106                  -1                   1
            1.147066                   0                  -1                  -1                   0
            1.148885                   0                 105                  -1                   1
            0.935947                   0                 106                  -1                   2
            0.935947                   0                 106                  -1                   0
            0.903921                   0                 107                  -1                   1
        14399.880000                   0                  -1                  -1                   0
        14399.880000                   0                 106                  -1                   1
            0.921642                   0                 107                  -1                   2
            0.921644                   0                 107                  -1                   0
            1.294139                   0                 108                  -1                   1
            0.921642                   0                  -1                  -1                   0
            0.921644                   0                 107                  -1                   1
            1.294139                   0                 108                  -1                   2
            0.899640                   0                 109                  -1                   0
            0.899597                   0                 109                  -1                   1
            1.256090                   0                  -1                  -1                   0
            1.256090                   0                 108                  -1                   1
            0.892286                   0                 109                  -1                   2
            0.892286                   0                 109                  -1                   0
            0.905156                   0                 110                  -1                   1
            0.878382                   0                  -1                  -1                   0
            0.878384                   0                 109                  -1                   1
            0.904663                   0                 110                  -1                   2
            0.986596                   0                 111                  -1                   0
            1.102955                   0                 112                  -1                   1
