           CurrError          VanishGrad         ResetWeight       ChangeInitial    RelocateInterval
         1680.128597                   0                  -1                  -1                   0
         1824.091731                   0                 100                  -1                   0
         1609.133984                   0                 101                  -1                   0
         1609.133984                   0                 101                  -1                   0
         1975.940491                   0                 102                  -1                   0
         1880.539786                   0                  -1                  -1                   0
         1609.133983                   0                 101                  -1                   0
         1609.133984                   0                 101                  -1                   0
         1975.940491                   0                 102                  -1                   1
         2116.102135                   0                 103                  -1                   1
         1979.940492                   0                  -1                  -1                   0
         1975.940492                   0                 102                  -1                   0
         1975.940492                   0                 102                  -1                   0
         2116.102136                   0                 103                  -1                   0
         1554.848967                   0                 104                  -1                   1
         2122.102136                   0                  -1                  -1                   0
         2118.102135                   0                 103                  -1                   0
         2118.102136                   0                 103                  -1                   0
         1554.848967                   0                 104                  -1                   0
         1554.848967                   0                 104                  -1                   0
         1558.848967                   0                  -1                  -1                   0
         1554.848966                   0                 104                  -1                   0
         1554.848968                   0                 104                  -1                   0
         1545.924870                   0                 105                  -1                   0
         1545.924870                   0                 105                  -1                   1
         1553.924870                   0                  -1                  -1                   0
         1545.924870                   0                 105                  -1                   0
         1545.924870                   0                 105                  -1                   0
         1690.626045                   0                 106                  -1                   0
         1906.157938                   0                 107                  -1                   0
         1696.626045                   0                  -1                  -1                   0
         1690.626045                   0                 106                  -1                   0
         1690.626046                   0                 106                  -1                   0
         1906.157926                   0                 107                  -1                   1
         1775.116392                   0                 108                  -1                   1
         2245.001948                   0                  -1                  -1                   0
         1906.157938                   0                 107                  -1                   0
         1906.157931                   0                 107                  -1                   0
         1806.492044                   0                 108                  -1                   0
         1806.486280                   0                 108                  -1                   0
         1774.032794                   0                  -1                  -1                   0
         1806.477656                   0                 108                  -1                   0
         1541.021139                   0                 109                  -1                   0
         1541.021139                   0                 109                  -1                   0
         1567.007834                   0                 110                  -1                   0
         1547.021139                   0                  -1                  -1                   0
         1541.021139                   0                 109                  -1                   0
         1541.021139                   0                 109                  -1                   0
         1567.007834                   0                 110                  -1                   0
         2125.770712                   0                 111                  -1                   0
