           CurrError          VanishGrad         ResetWeight       ChangeInitial    RelocateInterval
         5187.069755                   0                  -1                  -1                   0
         4838.569649                   0                 100                  -1                   0
         4966.570901                   0                 100                  -1                   0
         5084.268807                   0                 101                  -1                   0
         4980.333784                   0                 102                  -1                   1
         5411.613723                   0                 103                  -1                   1
         4936.044968                   0                 104                  -1                   2
         5487.226312                   0                 105                  -1                   2
         5410.677941                   0                 106                  -1                   2
         5289.609602                   0                 107                  -1                   2
         5176.244591                   0                  -1                  -1                   0
         4955.733126                   0                 101                  -1                   0
         4955.686045                   0                 101                  -1                   0
         4980.333784                   0                 102                  -1                   1
         5412.111233                   0                 103                  -1                   2
         4936.044968                   0                 104                  -1                   0
         4808.044968                   0                 104                  -1                   0
         4936.044966                   0                 104                  -1                   0
         4766.484731                   0                 105                  -1                   0
         4766.484730                   0                 105                  -1                   0
         5328.833789                   0                  -1                  -1                   0
         4980.333784                   0                 102                  -1                   0
         4980.333811                   0                 102                  -1                   0
         5544.134801                   0                 103                  -1                   1
         4808.044968                   0                 104                  -1                   1
         4936.044968                   0                 104                  -1                   1
         4894.484730                   0                 105                  -1                   1
         5410.677943                   0                 106                  -1                   2
         5289.609602                   0                 107                  -1                   2
         5004.599245                   0                 108                  -1                   0
         6579.713956                   0                  -1                  -1                   0
         6361.213911                   0                 103                  -1                   0
         6359.213801                   0                 103                  -1                   0
         6359.208824                   0                 103                  -1                   0
         4808.044968                   0                 104                  -1                   1
         4936.044968                   0                 104                  -1                   1
         4894.484730                   0                 105                  -1                   1
         5410.677942                   0                 106                  -1                   2
         5289.609602                   0                 107                  -1                   2
         5004.599245                   0                 108                  -1                   0
         5028.544968                   0                  -1                  -1                   0
         4936.044968                   0                 104                  -1                   0
         4808.044968                   0                 104                  -1                   0
         4936.044966                   0                 104                  -1                   0
         4766.484731                   0                 105                  -1                   0
         4766.484730                   0                 105                  -1                   0
         5410.678660                   0                 106                  -1                   1
         5289.609602                   0                 107                  -1                   2
         5004.599245                   0                 108                  -1                   0
         5034.788102                   0                 109                  -1                   0
         5027.484730                   0                  -1                  -1                   0
         4847.484730                   0                 105                  -1                   0
         4766.484730                   0                 105                  -1                   0
         4766.484730                   0                 105                  -1                   0
         5410.678664                   0                 106                  -1                   1
         5289.609602                   0                 107                  -1                   2
         5004.599245                   0                 108                  -1                   0
         5034.788102                   0                 109                  -1                   0
         5064.214391                   0                 110                  -1                   0
         5510.653495                   0                 111                  -1                   0
         5633.177940                   0                  -1                  -1                   0
         5410.677940                   0                 106                  -1                   0
         5410.678114                   0                 106                  -1                   0
         5289.609602                   0                 107                  -1                   1
         5289.609603                   0                 107                  -1                   2
         5004.599141                   0                 108                  -1                   0
         4876.599242                   0                 108                  -1                   0
         4876.599245                   0                 108                  -1                   0
         5034.788102                   0                 109                  -1                   1
         4936.214391                   0                 110                  -1                   2
         5510.119644                   0                  -1                  -1                   0
         5291.609602                   0                 107                  -1                   0
         5289.609602                   0                 107                  -1                   0
         5289.609602                   0                 107                  -1                   0
         4917.099232                   0                 108                  -1                   1
         5004.599245                   0                 108                  -1                   1
         5034.788102                   0                 109                  -1                   1
         4936.214394                   0                 110                  -1                   1
         5666.375395                   0                 111                  -1                   2
         6027.971125                   0                 112                  -1                   2
         6265.853991                   0                  -1                  -1                   0
         5996.824471                   0                 108                  -1                   0
         5996.813822                   0                 108                  -1                   0
         5034.788102                   0                 109                  -1                   1
         5034.788102                   0                 109                  -1                   1
         4936.214397                   0                 110                  -1                   2
         4936.214391                   0                 110                  -1                   0
         5666.367395                   0                 111                  -1                   1
         6027.971134                   0                 112                  -1                   1
         6495.420692                   0                 113                  -1                   2
         5255.288102                   0                  -1                  -1                   0
         5075.288102                   0                 109                  -1                   0
         5162.785706                   0                 109                  -1                   0
         4936.214391                   0                 110                  -1                   0
         5064.214391                   0                 110                  -1                   0
         5666.375390                   0                 111                  -1                   0
         5940.471130                   0                 112                  -1                   1
         6407.920552                   0                 113                  -1                   1
         4807.291910                   0                 114                  -1                   2
         4807.291911                   0                 114                  -1                   0
