           CurrError          VanishGrad         ResetWeight       ChangeInitial    RelocateInterval
           12.500000                   0                  -1                  -1                   0
            0.930425                   0                 100                  -1                   0
            0.930425                   0                 100                  -1                   0
            0.876235                   0                 101                  -1                   1
            0.876235                   0                 101                  -1                   2
            1.140264                   0                 102                  -1                   0
            1.156025                   0                 103                  -1                   1
            1.085097                   0                 104                  -1                   2
            1.160052                   0                 105                  -1                   0
            0.933832                   0                 106                  -1                   1
           12.500000                   0                  -1                  -1                   0
            0.867310                   0                 101                  -1                   0
            0.867310                   0                 101                  -1                   0
            1.124839                   0                 102                  -1                   1
            1.156562                   0                 103                  -1                   2
            1.085084                   0                 104                  -1                   0
            1.160058                   0                 105                  -1                   1
            0.933887                   0                 106                  -1                   2
            0.907311                   0                 107                  -1                   0
            1.286997                   0                 108                  -1                   1
           12.500000                   0                  -1                  -1                   0
            1.220443                   0                 102                  -1                   0
            1.220443                   0                 102                  -1                   0
            1.156000                   0                 103                  -1                   1
            1.156000                   0                 103                  -1                   2
            1.086651                   0                 104                  -1                   0
            1.085055                   0                 104                  -1                   1
            1.085055                   0                 104                  -1                   2
            1.158953                   0                 105                  -1                   0
            0.933832                   0                 106                  -1                   1
           12.500000                   0                  -1                  -1                   0
            1.159184                   0                 103                  -1                   0
            1.159184                   0                 103                  -1                   0
            1.090128                   0                 104                  -1                   1
            1.090128                   0                 104                  -1                   2
            1.159149                   0                 105                  -1                   0
            0.934239                   0                 106                  -1                   1
            0.934239                   0                 106                  -1                   2
            0.907342                   0                 107                  -1                   0
            0.907342                   0                 107                  -1                   1
           12.500000                   0                  -1                  -1                   0
            1.050717                   0                 104                  -1                   0
            1.050717                   0                 104                  -1                   0
            1.133617                   0                 105                  -1                   1
            0.933213                   0                 106                  -1                   2
            0.933213                   0                 106                  -1                   0
            0.907409                   0                 107                  -1                   1
            0.907409                   0                 107                  -1                   2
            1.286926                   0                 108                  -1                   0
            0.885096                   0                 109                  -1                   1
           12.500000                   0                  -1                  -1                   0
            1.134034                   0                 105                  -1                   0
            1.134034                   0                 105                  -1                   0
            0.940727                   0                 106                  -1                   1
            0.940727                   0                 106                  -1                   2
            0.905782                   0                 107                  -1                   0
            0.905782                   0                 107                  -1                   1
            1.287319                   0                 108                  -1                   2
            0.885013                   0                 109                  -1                   0
            0.884886                   0                 109                  -1                   1
           12.500000                   0                  -1                  -1                   0
            0.937255                   0                 106                  -1                   0
            0.937255                   0                 106                  -1                   0
            0.910846                   0                 107                  -1                   1
            0.910846                   0                 107                  -1                   2
            1.286640                   0                 108                  -1                   0
            0.886444                   0                 109                  -1                   1
            0.886444                   0                 109                  -1                   2
            0.908010                   0                 110                  -1                   0
            0.990359                   0                 111                  -1                   1
           12.500000                   0                  -1                  -1                   0
            0.892641                   0                 107                  -1                   0
            0.892641                   0                 107                  -1                   0
            1.295037                   0                 108                  -1                   1
            0.886513                   0                 109                  -1                   2
            0.886513                   0                 109                  -1                   0
            0.907950                   0                 110                  -1                   1
            0.990622                   0                 111                  -1                   2
            1.079278                   0                 112                  -1                   0
            0.905416                   0                 113                  -1                   1
           12.500000                   0                  -1                  -1                   0
            1.271757                   0                 108                  -1                   0
            1.271757                   0                 108                  -1                   0
            0.872309                   0                 109                  -1                   1
            0.872309                   0                 109                  -1                   2
            0.899992                   0                 110                  -1                   0
            0.991391                   0                 111                  -1                   1
            1.078442                   0                 112                  -1                   2
            0.905226                   0                 113                  -1                   0
            0.947854                   0                 114                  -1                   1
           12.500000                   0                  -1                  -1                   0
            0.864448                   0                 109                  -1                   0
            0.864448                   0                 109                  -1                   0
            0.894826                   0                 110                  -1                   1
            0.990466                   0                 111                  -1                   2
            1.078711                   0                 112                  -1                   0
            0.905370                   0                 113                  -1                   1
            0.947858                   0                 114                  -1                   2
            1.302830                   0                 115                  -1                   0
            0.988202                   0                 116                  -1                   1
